"","time","mean_valssp_Acte","mean_valssp_ActeL","mean_valssp_ActeU","mean_valsfp_Acte","mean_valsfp_ActeL","mean_valsfp_ActeU","mean_valsdet_Acte","mean_valsdet_ActeL","mean_valsdet_ActeU","mean_valssp_Sumi","mean_valssp_SumiL","mean_valssp_SumiU","mean_valsfp_Sumi","mean_valsfp_SumiL","mean_valsfp_SumiU","mean_valsdet_Sumi","mean_valsdet_SumiL","mean_valsdet_SumiU"
"51",51,0.827993301593751,0.820238361482125,0.83544487818623,0.143107945675853,0.136186126498142,0.150357119536205,0.156415687628317,0.151008154176034,0.161993839254455,0.602216183309147,0.585683152928844,0.618999263897664,0.279311372534675,0.265069055943233,0.293380677569788,0.302576010513558,0.292879614149397,0.312717469580175
"52",52,0.826723763603689,0.818894882970272,0.834245954583579,0.144149722635335,0.137161100795227,0.151469767492472,0.155246483909751,0.149847086932316,0.160816870821054,0.600448217461234,0.583823553481511,0.617323297049308,0.281028236578089,0.266676818431642,0.295208074734376,0.301022027171654,0.291296059081784,0.31119344250022
"53",53,0.825446830837618,0.817543597235422,0.833040041491869,0.145197798326286,0.138141938817633,0.152589170386819,0.154084423604406,0.14869338335322,0.159646824581021,0.598677630325115,0.58196156493947,0.615644535573102,0.282751513415288,0.268290772768832,0.297042069479586,0.299472597812399,0.289717558060588,0.309673496173145
"54",54,0.824162489376249,0.816184492279099,0.831827123601539,0.146252192111837,0.139128659837016,0.153715347335654,0.152929486926437,0.147547020768911,0.158483683490652,0.596904464321614,0.580097237404335,0.613963014896591,0.284481176249057,0.269910899723256,0.298882626221722,0.2979277443957,0.288144132997662,0.308157652391316
"55",55,0.822870725726969,0.814817556612683,0.830607185957372,0.147312923133304,0.140121282952832,0.154848317173611,0.151781653772538,0.146407976195068,0.157327430187788,0.595128762135676,0.578230621241026,0.6122787707032,0.286217197618697,0.271537179495579,0.300729708612159,0.296387488503814,0.286575805367415,0.306645932623347
"56",56,0.821571526830487,0.813442779264846,0.829380213964388,0.148380010305437,0.141119827088326,0.155988098447972,0.150640903728228,0.145276226339719,0.15617804699758,0.593350566712565,0.576361767072588,0.610591838929571,0.287959549398739,0.273169591716744,0.302583279537077,0.294851851341434,0.28501259620734,0.305138358013849
"57",57,0.820264880067486,0.812060149788974,0.828146193393755,0.149453472311649,0.142124310986496,0.157134709413051,0.149507216074103,0.144151747610029,0.155035515938216,0.591569921254018,0.574490725774942,0.608902255762832,0.289708202797788,0.274808115446137,0.304443301117352,0.293320853735829,0.283454526118614,0.303634949383231
"58",58,0.818950773265285,0.810669658270579,0.826905110388705,0.150533327599207,0.143134753206032,0.158288168024555,0.148380569792057,0.143034516119047,0.153899818726631,0.589786869214328,0.572617548471587,0.607210057637835,0.291463128357475,0.276452729169844,0.306309734708619,0.291794516137046,0.281901615266767,0.302135727227543
"59",59,0.817629194704494,0.809271295334712,0.825656951470466,0.151619594374402,0.144151172117223,0.159448491933922,0.147260943571466,0.141924507692408,0.152770936784195,0.588001454296389,0.570742286528231,0.605515281234332,0.293224295951558,0.278103410798991,0.308182540901503,0.290272858618162,0.280353883382411,0.300640711718374
"60",60,0.81630013312568,0.807865052153351,0.824401703544201,0.152712290597693,0.145173585897842,0.160615698482631,0.146148315815335,0.140821697874985,0.151648851242364,0.586213720447676,0.568864991547376,0.603817963474116,0.294991674785134,0.279760137668188,0.310061679522018,0.288755900875597,0.278811349762039,0.299149922702793
"61",61,0.814963577736025,0.806450920452783,0.82313935390496,0.153811433978818,0.146202012529002,0.161789804696488,0.145042664646415,0.139726061937505,0.150533542948313,0.584423711856179,0.56698571536284,0.602118141518105,0.296765233393987,0.281422886534062,0.311947109632141,0.287243662229476,0.277274033268883,0.29766337970333
